No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
1,5/12～5/30_総合保健福祉センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,5/12～5/30_総合保健福祉センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
13,5/12～5/30_東生涯学習センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,5/12～5/30_東生涯学習センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
37,5/12～5/30_西南生涯学習センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,5/12～5/30_西南生涯学習センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
61,6/02～6/20_総合保健福祉センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_総合保健福祉センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
61,6/02～6/20_総合保健福祉センター,TRUE,2021-05-12,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_総合保健福祉センター/2021-05-12,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9
61,6/02～6/20_総合保健福祉センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_総合保健福祉センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,6/02～6/20_総合保健福祉センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_総合保健福祉センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,6/02～6/20_東生涯学習センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_東生涯学習センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
61,6/02～6/20_東生涯学習センター,TRUE,2021-05-12,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_東生涯学習センター/2021-05-12,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9
61,6/02～6/20_東生涯学習センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_東生涯学習センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,6/02～6/20_東生涯学習センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_東生涯学習センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,6/02～6/20_西南生涯学習センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_西南生涯学習センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
61,6/02～6/20_西南生涯学習センター,TRUE,2021-05-12,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_西南生涯学習センター/2021-05-12,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9
61,6/02～6/20_西南生涯学習センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_西南生涯学習センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,6/02～6/20_西南生涯学習センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/02～6/20_西南生涯学習センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,6/23～6/30_総合保健福祉センター,TRUE,2021-05-05,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～6/30_総合保健福祉センター/2021-05-05,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9,2021-05-05T13:20:00.000+9,2021-05-05T13:30:00.000+9
61,6/23～6/30_総合保健福祉センター,TRUE,2021-05-12,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～6/30_総合保健福祉センター/2021-05-12,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9,2021-05-12T13:20:00.000+9,2021-05-12T13:30:00.000+9
61,6/23～6/30_総合保健福祉センター,TRUE,2021-05-19,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～6/30_総合保健福祉センター/2021-05-19,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9,2021-05-19T13:20:00.000+9,2021-05-19T13:30:00.000+9
61,6/23～6/30_総合保健福祉センター,TRUE,2021-05-26,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～6/30_総合保健福祉センター/2021-05-26,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9,2021-05-26T13:20:00.000+9,2021-05-26T13:30:00.000+9
61,6/23～6/30_総合保健福祉センター,TRUE,2021-06-02,13:20,13:30,13:20,13:30,10,0,0,120,2,2,6/23～6/30_総合保健福祉センター/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9,2021-06-02T13:20:00.000+9,2021-06-02T13:30:00.000+9
