No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
1,7/01～7/11_総合保健福祉センター,TRUE,2021-07-01,13:20,14:40,14:00,14:20,10,3,1,120,2,2,7/01～7/11_総合保健福祉センター/2021-07-01,2021-07-01T13:20:00.000+9,2021-07-01T14:40:00.000+9,2021-07-01T14:00:00.000+9,2021-07-01T14:20:00.000+9
2,7/01～7/11_総合保健福祉センター,TRUE,2021-07-07,13:20,14:40,14:00,14:20,10,3,1,120,2,2,7/01～7/11_総合保健福祉センター/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T14:40:00.000+9,2021-07-07T14:00:00.000+9,2021-07-07T14:20:00.000+9
3,7/01～7/11_総合保健福祉センター,TRUE,2021-07-08,13:20,14:40,14:00,14:20,10,3,1,120,2,2,7/01～7/11_総合保健福祉センター/2021-07-08,2021-07-08T13:20:00.000+9,2021-07-08T14:40:00.000+9,2021-07-08T14:00:00.000+9,2021-07-08T14:20:00.000+9
4,7/01～7/11_総合保健福祉センター,TRUE,2021-07-22,13:20,14:40,14:00,14:20,10,3,1,0,0,0,7/01～7/11_総合保健福祉センター/2021-07-22,2021-07-22T13:20:00.000+9,2021-07-22T14:40:00.000+9,2021-07-22T14:00:00.000+9,2021-07-22T14:20:00.000+9
5,7/01～7/11_総合保健福祉センター,TRUE,2021-07-28,13:20,14:40,14:00,14:20,10,3,1,0,0,0,7/01～7/11_総合保健福祉センター/2021-07-28,2021-07-28T13:20:00.000+9,2021-07-28T14:40:00.000+9,2021-07-28T14:00:00.000+9,2021-07-28T14:20:00.000+9
6,7/01～7/11_総合保健福祉センター,TRUE,2021-07-29,13:20,14:40,14:00,14:20,10,3,1,0,0,0,7/01～7/11_総合保健福祉センター/2021-07-29,2021-07-29T13:20:00.000+9,2021-07-29T14:40:00.000+9,2021-07-29T14:00:00.000+9,2021-07-29T14:20:00.000+9
7,7/01～7/11_総合保健福祉センター,TRUE,2021-07-03,13:20,16:40,,,10,3,1,120,2,2,7/01～7/11_総合保健福祉センター/2021-07-03,2021-07-03T13:20:00.000+9,2021-07-03T16:40:00.000+9,2021-07-03T00:00:00.000+9,2021-07-03T00:00:00.000+9
8,7/01～7/11_総合保健福祉センター,TRUE,2021-07-10,13:20,16:40,,,10,3,1,120,2,2,7/01～7/11_総合保健福祉センター/2021-07-10,2021-07-10T13:20:00.000+9,2021-07-10T16:40:00.000+9,2021-07-10T00:00:00.000+9,2021-07-10T00:00:00.000+9
9,7/01～7/11_総合保健福祉センター,TRUE,2021-07-24,13:20,16:40,,,10,3,1,0,0,0,7/01～7/11_総合保健福祉センター/2021-07-24,2021-07-24T13:20:00.000+9,2021-07-24T16:40:00.000+9,2021-07-24T00:00:00.000+9,2021-07-24T00:00:00.000+9
10,7/01～7/11_総合保健福祉センター,TRUE,2021-07-31,13:20,16:40,,,10,3,1,0,0,0,7/01～7/11_総合保健福祉センター/2021-07-31,2021-07-31T13:20:00.000+9,2021-07-31T16:40:00.000+9,2021-07-31T00:00:00.000+9,2021-07-31T00:00:00.000+9
