周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
4,1,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-14,13:20,14:40,14:10,14:20,10,2,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-14,2021-07-14T13:20:00.000+9,2021-07-14T14:40:00.000+9,2021-07-14T14:10:00.000+9,2021-07-14T14:20:00.000+9
4,2,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-15,13:20,14:40,14:10,14:20,10,2,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-15,2021-07-15T13:20:00.000+9,2021-07-15T14:40:00.000+9,2021-07-15T14:10:00.000+9,2021-07-15T14:20:00.000+9
4,3,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-21,13:20,14:40,14:10,14:20,10,2,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-21,2021-07-21T13:20:00.000+9,2021-07-21T14:40:00.000+9,2021-07-21T14:10:00.000+9,2021-07-21T14:20:00.000+9
4,4,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-22,13:20,14:40,14:10,14:20,10,6,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-22,2021-07-22T13:20:00.000+9,2021-07-22T14:40:00.000+9,2021-07-22T14:10:00.000+9,2021-07-22T14:20:00.000+9
4,5,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-28,13:20,14:40,14:10,14:20,10,2,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-28,2021-07-28T13:20:00.000+9,2021-07-28T14:40:00.000+9,2021-07-28T14:10:00.000+9,2021-07-28T14:20:00.000+9
4,6,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-07-29,13:20,14:40,14:10,14:20,10,2,1,120,3,3,7/14～8/01_総合保健福祉センター(60歳)/2021-07-29,2021-07-29T13:20:00.000+9,2021-07-29T14:40:00.000+9,2021-07-29T14:10:00.000+9,2021-07-29T14:20:00.000+9
4,7,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-08-04,13:20,14:40,14:10,14:20,10,2,1,0,0,0,7/14～8/01_総合保健福祉センター(60歳)/2021-08-04,2021-08-04T13:20:00.000+9,2021-08-04T14:40:00.000+9,2021-08-04T14:10:00.000+9,2021-08-04T14:20:00.000+9
4,8,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-08-05,13:20,14:40,14:10,14:20,10,2,1,0,0,0,7/14～8/01_総合保健福祉センター(60歳)/2021-08-05,2021-08-05T13:20:00.000+9,2021-08-05T14:40:00.000+9,2021-08-05T14:10:00.000+9,2021-08-05T14:20:00.000+9
4,9,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-08-11,13:20,14:40,14:10,14:20,10,2,1,0,0,0,7/14～8/01_総合保健福祉センター(60歳)/2021-08-11,2021-08-11T13:20:00.000+9,2021-08-11T14:40:00.000+9,2021-08-11T14:10:00.000+9,2021-08-11T14:20:00.000+9
4,10,7/14～8/01_総合保健福祉センター(60歳),TRUE,2021-08-12,13:20,14:40,14:10,14:20,10,6,1,0,0,0,7/14～8/01_総合保健福祉センター(60歳)/2021-08-12,2021-08-12T13:20:00.000+9,2021-08-12T14:40:00.000+9,2021-08-12T14:10:00.000+9,2021-08-12T14:20:00.000+9
