No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
1,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-05,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-05,2021-10-05T14:00:00.000+9,2021-10-05T16:00:00.000+9,2021-10-05T00:00:00.000+9,2021-10-05T00:00:00.000+9
2,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-06,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-06,2021-10-06T14:00:00.000+9,2021-10-06T16:00:00.000+9,2021-10-06T00:00:00.000+9,2021-10-06T00:00:00.000+9
3,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-08,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-08,2021-10-08T14:00:00.000+9,2021-10-08T16:00:00.000+9,2021-10-08T00:00:00.000+9,2021-10-08T00:00:00.000+9
4,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-12,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-12,2021-10-12T14:00:00.000+9,2021-10-12T16:00:00.000+9,2021-10-12T00:00:00.000+9,2021-10-12T00:00:00.000+9
5,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-15,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-15,2021-10-15T14:00:00.000+9,2021-10-15T16:00:00.000+9,2021-10-15T00:00:00.000+9,2021-10-15T00:00:00.000+9
6,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-19,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-19,2021-10-19T14:00:00.000+9,2021-10-19T16:00:00.000+9,2021-10-19T00:00:00.000+9,2021-10-19T00:00:00.000+9
7,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-20,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-20,2021-10-20T14:00:00.000+9,2021-10-20T16:00:00.000+9,2021-10-20T00:00:00.000+9,2021-10-20T00:00:00.000+9
8,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-22,14:00,16:00,,,30,15,1,120,4,4,巽今宮病院_10/5～10/22(ファイザー)/2021-10-22,2021-10-22T14:00:00.000+9,2021-10-22T16:00:00.000+9,2021-10-22T00:00:00.000+9,2021-10-22T00:00:00.000+9
9,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-26,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-10-26,2021-10-26T14:00:00.000+9,2021-10-26T16:00:00.000+9,2021-10-26T00:00:00.000+9,2021-10-26T00:00:00.000+9
10,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-27,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-10-27,2021-10-27T14:00:00.000+9,2021-10-27T16:00:00.000+9,2021-10-27T00:00:00.000+9,2021-10-27T00:00:00.000+9
11,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-10-29,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-10-29,2021-10-29T14:00:00.000+9,2021-10-29T16:00:00.000+9,2021-10-29T00:00:00.000+9,2021-10-29T00:00:00.000+9
12,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-11-02,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-11-02,2021-11-02T14:00:00.000+9,2021-11-02T16:00:00.000+9,2021-11-02T00:00:00.000+9,2021-11-02T00:00:00.000+9
13,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-11-05,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-11-05,2021-11-05T14:00:00.000+9,2021-11-05T16:00:00.000+9,2021-11-05T00:00:00.000+9,2021-11-05T00:00:00.000+9
14,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-11-09,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-11-09,2021-11-09T14:00:00.000+9,2021-11-09T16:00:00.000+9,2021-11-09T00:00:00.000+9,2021-11-09T00:00:00.000+9
15,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-11-10,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-11-10,2021-11-10T14:00:00.000+9,2021-11-10T16:00:00.000+9,2021-11-10T00:00:00.000+9,2021-11-10T00:00:00.000+9
16,巽今宮病院_10/5～10/22(ファイザー),TRUE,2021-11-12,14:00,16:00,,,30,15,1,0,0,0,巽今宮病院_10/5～10/22(ファイザー)/2021-11-12,2021-11-12T14:00:00.000+9,2021-11-12T16:00:00.000+9,2021-11-12T00:00:00.000+9,2021-11-12T00:00:00.000+9
