月,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
4,1,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-06,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-06,2022-04-06T13:20:00.000+9,2022-04-06T15:00:00.000+9,2022-04-06T00:00:00.000+9,2022-04-06T00:00:00.000+9
4,2,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-07,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-07,2022-04-07T13:20:00.000+9,2022-04-07T15:00:00.000+9,2022-04-07T00:00:00.000+9,2022-04-07T00:00:00.000+9
4,3,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-13,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-13,2022-04-13T13:20:00.000+9,2022-04-13T15:00:00.000+9,2022-04-13T00:00:00.000+9,2022-04-13T00:00:00.000+9
4,4,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-14,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-14,2022-04-14T13:20:00.000+9,2022-04-14T15:00:00.000+9,2022-04-14T00:00:00.000+9,2022-04-14T00:00:00.000+9
4,5,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-20,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-20,2022-04-20T13:20:00.000+9,2022-04-20T15:00:00.000+9,2022-04-20T00:00:00.000+9,2022-04-20T00:00:00.000+9
4,6,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-21,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-21,2022-04-21T13:20:00.000+9,2022-04-21T15:00:00.000+9,2022-04-21T00:00:00.000+9,2022-04-21T00:00:00.000+9
4,7,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-27,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-27,2022-04-27T13:20:00.000+9,2022-04-27T15:00:00.000+9,2022-04-27T00:00:00.000+9,2022-04-27T00:00:00.000+9
4,8,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-28,13:20,15:00,,,10,8,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-28,2022-04-28T13:20:00.000+9,2022-04-28T15:00:00.000+9,2022-04-28T00:00:00.000+9,2022-04-28T00:00:00.000+9
4,9,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-02,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-02,2022-04-02T13:20:00.000+9,2022-04-02T15:20:00.000+9,2022-04-02T00:00:00.000+9,2022-04-02T00:00:00.000+9
4,10,4/2～4/30_総合保健福祉センター（モデルナ）,TRUE,2022-04-09,13:20,15:20,,,10,10,1,120,3,4,4/2～4/30_総合保健福祉センター（モデルナ）/2022-04-09,2022-04-09T13:20:00.000+9,2022-04-09T15:20:00.000+9,2022-04-09T00:00:00.000+9,2022-04-09T00:00:00.000+9
